PreC_#,Team Name,PreC_M,PreC_W,PreC_D,PreC_L,PreC_Dif,PreC_Pt,PreC_F,PreC_A,Final_#,PostC_M,PostC_W,PostC_D,PostC_L,PostC_Dif,PostC_Pt,PostC_F,PostC_A,PostC_PPG,PreC_PPG,PPG_Diff,season
1,Bayern München,25,17,4,4,47,55,73,26,1,9,9,0,0,21,27,27,6,3.0,2.2,0.8,2019-2020
2,Borussia Dortmund,25,15,6,4,35,51,68,33,2,9,6,0,3,8,18,16,8,2.0,2.04,-0.04,2019-2020
3,RB Leipzig,25,14,8,3,36,50,62,26,3,9,4,4,1,8,16,19,11,1.78,2.0,-0.22,2019-2020
4,Bor. Mönchengladbach,25,15,4,6,19,49,49,30,4,9,5,1,3,7,16,17,10,1.78,1.96,-0.18,2019-2020
5,Bayer Leverkusen,25,14,5,6,15,47,45,30,5,9,5,1,3,2,16,16,14,1.78,1.88,-0.1,2019-2020
6,FC Schalke 04,25,9,10,6,-3,37,33,36,12,9,0,2,7,-17,2,5,22,0.22,1.48,-1.26,2019-2020
7,VfL Wolfsburg,25,9,9,7,4,36,34,30,7,9,4,1,4,-2,13,14,16,1.44,1.44,0.0,2019-2020
8,SC Freiburg,25,10,6,9,-1,36,34,35,8,9,3,3,3,2,12,14,12,1.33,1.44,-0.11,2019-2020
9,1899 Hoffenheim,25,10,5,10,-8,35,35,43,6,9,5,2,2,8,17,18,10,1.89,1.4,0.49,2019-2020
10,1. FC Köln,25,10,2,13,-6,32,39,45,14,9,0,4,5,-12,4,12,24,0.44,1.28,-0.84,2019-2020
11,Eintracht Frankfurt,25,9,4,12,0,31,41,41,9,9,4,2,3,-1,14,18,19,1.56,1.24,0.32,2019-2020
12,1. FC Union Berlin,25,9,3,13,-9,30,32,41,11,9,3,2,4,-8,11,9,17,1.22,1.2,0.02,2019-2020
13,Hertha BSC,25,7,7,11,-16,28,32,48,10,9,4,1,4,5,13,16,11,1.44,1.12,0.32,2019-2020
14,FC Augsburg,25,7,6,12,-16,27,36,52,15,9,2,3,4,-2,9,9,11,1.0,1.08,-0.08,2019-2020
15,1. FSV Mainz 05,25,8,2,15,-19,26,34,53,13,9,3,2,4,-2,11,10,12,1.22,1.04,0.18,2019-2020
16,Fortuna Düsseldorf,25,5,7,13,-23,22,27,50,17,9,1,5,3,-8,8,9,17,0.89,0.88,0.01,2019-2020
17,Werder Bremen,25,4,6,15,-31,18,27,58,16,9,4,1,4,4,13,15,11,1.44,0.72,0.72,2019-2020
18,SC Paderborn 07,25,4,4,17,-24,16,30,54,18,9,0,4,5,-13,4,7,20,0.44,0.64,-0.2,2019-2020
1,Bayern München,25,18,3,4,35,57,62,27,1,9,6,3,0,21,21,26,5,2.33,2.28,0.05,2018-2019
2,Borussia Dortmund,25,17,6,2,33,57,61,28,2,9,6,1,2,4,19,20,16,2.11,2.28,-0.17,2018-2019
3,RB Leipzig,25,13,7,5,23,46,43,20,3,9,6,2,1,11,20,20,9,2.22,1.84,0.38,2018-2019
4,Bor. Mönchengladbach,25,14,4,7,14,46,44,30,5,9,2,3,4,-1,9,11,12,1.0,1.84,-0.84,2018-2019
5,Eintracht Frankfurt,25,12,7,6,20,43,50,30,7,9,3,2,4,-8,11,10,18,1.22,1.72,-0.5,2018-2019
6,Bayer Leverkusen,25,13,3,9,9,42,46,37,4,9,5,1,3,8,16,23,15,1.78,1.68,0.1,2018-2019
7,VfL Wolfsburg,25,11,6,8,2,39,39,37,6,9,5,1,3,10,16,23,13,1.78,1.56,0.22,2018-2019
